division,department,category,incident_id,incident_number,incident_type_id,request_type,request_status,request_priority,reported_date,sr_creation_channel,created_by_user,resolution_code,group_name,address1,city,state,parcel_id,sub_district,creation_date,last_update_date,last_updated_by,ce_category,full_address,location1,_100_block_coordinate,:@computed_region_me95_vbw4,:@computed_region_xf2b_u4zq,:@computed_region_gxae_hf64,:@computed_region_stch_rtry,:@computed_region_dgrd_cuuf,:@computed_region_fuzm_ngj2,:@computed_region_scpn_qt9a,:@computed_region_y9za_kydd,resolution_summary,close_date,postal_code,target_block,:@computed_region_m99d_em2n,followup_date,:@computed_region_nyzj_ikpv,district,map_page,area,zone,collection_day,:@computed_region_qnac_u4vd,resolution_code_meaning,incident_resolved_date,last_modified_date,next_open_task_date,owner_name,street_name,number_of_tasks,created_by,last_update_login,swm_code
Public Works,Code Enforcement,Inspection-Structures,7001411,7001411,10409,"CE-Substandard,Derelict Struc",Closed,Medium,2023-10-17T17:04:05.000,WEB,Esri_Anonymous,CVOYC,MEM,1879 CEDARHURST AVE,MEMPHIS,TN,070094  00002,7-5,2024-07-06T22:19:28.000,2024-07-11T10:59:08.000,Esri_Anonymous,NOT-CATEGORIZED,1879 CEDARHURST AVE,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-90.001159008, 35.204207997]}",3,8,6,1,2,7,1,6,,,,,,,,,,,,,,,,,,,,,,,
Public Works,ENVIRONMENTAL MAINTENANCE,Environmental Maintenance,7123600,7123600,10693,EMI-Cave In,Closed,Medium,2024-06-18T19:00:00.000,WEB,Esri_Anonymous,,MEMPHIS,0 WALNUT RUN RD,MEMPHIS,TN,091037  00002,,2024-06-19T22:01:09.000,2024-07-01T15:19:00.000,Esri_Anonymous,,0 WALNUT RUN RD,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-89.792443755, 35.146751914]}",3,8,6,1,2,7,1,6,BAD ADDRESS. CLOSE,2024-07-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
Public Works,Code Enforcement,Inspection-Vehicle,7015935,7015935,10400,CE-Vehicle Violations,Closed,Medium,2023-12-05T18:00:00.000,WEB,Esri_Anonymous,CVOID,MEMPHIS,2647 CARNES AVE,MEMPHIS,TN,029095  00003C,,2024-01-16T09:24:02.000,2024-01-24T10:40:26.000,Esri_Anonymous,NOT-CATEGORIZED,2647 CARNES AVE,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-89.973961995, 35.112343009]}",3,8,6,1,2,7,1,6,,2024-01-24T10:40:21.000,,,,,,,,,,,,,,,,,,,,,
Public Works,Code Enforcement,Miscellaneous,7123790,7123790,10396,CE-Code Miscellaneous,Closed,Low,2024-06-20T08:58:00.000,WEB,Sa_GISIdentitystore,NJ,Memphis,2743 KETCHUM RD,MEMPHIS,Tennessee,060137  00171C,,2024-06-20T09:02:14.000,2024-06-26T13:05:33.000,Esri_Anonymous,NOT-CATEGORIZED,2743 KETCHUM RD,"{'type': 'Point', 'coordinates': [-89.985747, 35.10008]}","{'type': 'Point', 'coordinates': [-89.970831019, 35.07986502]}",13,5,5,1,9,4,1,1,NO FURTHER ACTIONS WILL BE TAKEN AT THIS TIME,2024-06-26T13:04:30.000,38114,145,,,,,,,,,,,,,,,,,,,
Public Works,Code Enforcement,Weeds,7132339,7132339,10547,CE-Weeds Occupied Property,Closed,Low,2024-06-27T15:45:42.000,WEB,Esri_Anonymous,JA,,3186 beechmont,Memphis,TN,072019 00001,,2024-06-27T22:28:07.000,2024-06-28T10:34:26.000,Esri_Anonymous,NOT-CATEGORIZED,3186 beechmont,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-90.001506018, 35.21258198]}",3,8,6,1,2,7,1,6,,,,,,,,,,,,,,,,,,,,,,,
Public Works,Code Enforcement,Inspection-Vehicle,7122218,7122218,10400,CE-Vehicle Violations,Closed,Low,2024-06-14T16:10:00.000,WEB,Sa_GISIdentitystore,NJ,Memphis,6144 VALLEYDALE DR,MEMPHIS,Tennessee,093505 A00098,3-4,2024-06-14T16:11:51.000,2024-07-09T09:35:13.000,Esri_Anonymous,NOT-CATEGORIZED,6144 VALLEYDALE DR,"{'type': 'Point', 'coordinates': [-89.843526, 35.014313]}","{'type': 'Point', 'coordinates': [-89.858566993, 35.027062006]}",31,10,3,1,8,3,1,8,,,38141,208,2,,,,,,,,,,,,,,,,,,
Public Works,Code Enforcement,Weeds,7106824,7106824,10547,CE-Weeds Occupied Property,Closed,Low,2024-06-10T12:14:00.000,WEB,Sa_GISIdentitystore,CVOYC,Memphis,3788 DEER FOREST DR,MEMPHIS,Tennessee,093519 B00054,,2024-06-10T12:20:00.000,2024-07-13T08:30:43.000,Esri_Anonymous,NOT-CATEGORIZED,3788 DEER FOREST DR,"{'type': 'Point', 'coordinates': [-89.85883, 35.054748]}","{'type': 'Point', 'coordinates': [-89.844931983, 35.045178987]}",14,10,3,1,8,3,1,8,PRINTED AND MAILED 6/20/2024 Z.W,,38115,204,2,2024-07-13T08:30:32.000,1,,,,,,,,,,,,,,,,
Public Works,Code Enforcement,Weeds,7126886,7126886,10547,CE-Weeds Occupied Property,Closed,Medium,2024-06-20T19:00:00.000,WEB,Sa_GISIdentitystore,NJ,MEMPHIS,73 CHEROKEE DR,MEMPHIS,TN,045058  00011,,2024-06-21T14:05:31.000,2024-07-01T14:05:50.000,Esri_Anonymous,NOT-CATEGORIZED,73 CHEROKEE DR,"{'type': 'Point', 'coordinates': [-89.948876, 35.11147]}","{'type': 'Point', 'coordinates': [-89.966694969, 35.129919986]}",10,9,4,2,21,5,2,9,,,38111,79,,,4,,,,,,,,,,,,,,,,
Public Works,Street Maintenance,Maintenance-Potholes,,7012317,10266,PW (SM)-Potholes,Closed,Medium,2023-11-13T18:00:00.000,WEB,Esri_Anonymous,,MEMPHIS,,MEMPHIS,TN,088012  00141,,2023-11-22T13:22:11.000,2023-11-29T09:17:16.000,GIS311ADMIN,,,"{'type': 'Point', 'coordinates': [-90.04925, 35.14976]}","{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}",5,8,7,1,2,7,1,6,,,,,,,,1,,,,,,,,,,,,,,,
Public Works,ENVIRONMENTAL MAINTENANCE,Environmental Maintenance,7101348,7101348,10693,EMI-Cave In,Closed,Medium,2024-05-31T19:00:00.000,WEB,Sa_GISIdentitystore,,MEMPHIS,3351 REDCLIFF DR,MEMPHIS,TN,090006  00001,1-1,2024-06-01T06:56:32.000,2024-07-01T15:03:24.000,Esri_Anonymous,,3351 REDCLIFF DR,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-89.952135016, 35.251533983]}",3,8,6,1,2,7,1,6,FW TO MLGW,2024-07-01T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
