Average Initial Response Time,DEPARTMENT,REPORTED,REPORTED_COUNT,Response above 30 days,Response in 5 days,Response in 6-15 days,Response in 16-30 days
14.23,Commercial,05/01/2018 12:00:00 AM,20,2,9,6,3
138.44,Commercial,06/01/2020 12:00:00 AM,113,78,29,5,1
4.46,Residential,05/01/2023 12:00:00 AM,2890,35,1979,771,83
8.22,Residential,02/01/2017 12:00:00 AM,1983,84,1058,613,228
271,Commercial,10/01/2018 12:00:00 AM,121,73,18,21,9
22.44,Commercial,04/01/2023 12:00:00 AM,121,27,43,15,24
69.88,Commercial,03/01/2021 12:00:00 AM,97,64,23,6,4
79.51,Commercial,09/01/2020 12:00:00 AM,121,47,63,2,9
64.98,Commercial,01/01/2021 12:00:00 AM,46,23,15,4,4
35.77,Commercial,06/01/2018 12:00:00 AM,26,4,9,11,2
75.75,Commercial,12/01/2020 12:00:00 AM,21,10,9,2,0
5.76,Residential,12/01/2020 12:00:00 AM,1675,22,1055,443,155
9.85,Commercial,03/01/2023 12:00:00 AM,178,14,87,46,18
3.11,Residential,07/01/2022 12:00:00 AM,2837,8,2280,491,58
10.02,Residential,05/01/2017 12:00:00 AM,2894,162,1423,868,439
7.84,Commercial,07/01/2023 12:00:00 AM,153,1,38,21,13
3.52,Residential,11/01/2020 12:00:00 AM,1871,13,1462,344,51
3.59,Residential,04/01/2022 12:00:00 AM,2760,33,2162,512,53
5.54,Residential,11/01/2019 12:00:00 AM,1492,17,952,450,73
3.92,Residential,10/01/2021 12:00:00 AM,2110,23,1602,432,53
2.09,Commercial,02/01/2017 12:00:00 AM,1,0,1,0,0
19.41,Commercial,08/01/2021 12:00:00 AM,220,44,94,42,39
7.99,Residential,12/01/2017 12:00:00 AM,837,18,358,353,108
5.98,Residential,11/01/2017 12:00:00 AM,1200,21,657,439,82
45.41,Commercial,12/01/2017 12:00:00 AM,3,3,0,0,0
118.4,Commercial,11/01/2020 12:00:00 AM,47,34,6,3,4
261.36,Commercial,01/01/2019 12:00:00 AM,64,47,9,5,3
117.43,Commercial,07/01/2019 12:00:00 AM,111,69,21,14,6
168.12,Commercial,09/01/2019 12:00:00 AM,130,75,23,15,17
6.78,Residential,05/01/2020 12:00:00 AM,2041,21,933,990,95
4.68,Residential,07/01/2023 12:00:00 AM,2685,14,1729,633,174
76.26,Commercial,07/01/2018 12:00:00 AM,45,21,15,5,4
2.43,Residential,01/01/2021 12:00:00 AM,2068,3,1763,282,19
6.86,Residential,01/01/2019 12:00:00 AM,1752,28,1185,501,36
15.34,Commercial,09/01/2021 12:00:00 AM,330,52,163,72,42
230.01,Commercial,12/01/2018 12:00:00 AM,57,33,10,8,6
36.99,Commercial,04/01/2018 12:00:00 AM,19,4,8,3,4
6.72,Residential,10/01/2016 12:00:00 AM,2236,75,1369,632,160
29.87,Commercial,06/01/2022 12:00:00 AM,174,48,55,41,27
12.86,Residential,04/01/2016 12:00:00 AM,2411,255,1074,749,333
14.68,Residential,02/01/2016 12:00:00 AM,1778,280,867,394,237
40.15,Commercial,11/01/2017 12:00:00 AM,2,1,0,1,0
15.04,Residential,05/01/2016 12:00:00 AM,2627,397,1086,721,423
7.04,Residential,07/01/2018 12:00:00 AM,3207,63,1782,1130,231
10.45,Residential,06/01/2017 12:00:00 AM,2430,87,1172,886,285
6.5,Residential,03/01/2017 12:00:00 AM,2621,84,1528,769,237
7.05,Residential,01/01/2017 12:00:00 AM,2134,46,1158,711,219
4.75,Residential,06/01/2019 12:00:00 AM,2475,26,1638,771,39
28.92,Commercial,10/01/2017 12:00:00 AM,2,1,0,1,0
10.71,Commercial,01/01/2018 12:00:00 AM,11,0,4,3,4
9.18,Residential,11/01/2016 12:00:00 AM,2045,72,1180,625,168
7.35,Residential,09/01/2017 12:00:00 AM,2272,35,1164,835,237
5.21,Residential,10/01/2017 12:00:00 AM,1948,25,1156,668,98
8.8,Residential,02/01/2018 12:00:00 AM,1728,34,983,576,135
8.38,Residential,08/01/2016 12:00:00 AM,4011,178,2084,1401,348
