Complaint ID,Concerning,Investigated,Status,EFO,County,Completed,Site,Received,Facility ID
128126,Haz Waste Issue,JUL-31-2023,Open,Memphis,Shelby,,"Yale and Kenbridge Drive, Bartlett",JUL-31-2023,
127802,Diesel Spill,JUL-13-2023,Accepted,Memphis,Shelby,,TEMA Incident #1297-2023,JUL-12-2023,
127605,Used Oil,JUN-30-2023,No Problem Found,Memphis,Shelby,AUG-07-2023,Pate Road,JUN-27-2023,
127519,Other,JUN-16-2023,Referred to other Agency/Section,Memphis,Shelby,JUN-23-2023,FIRESTONE TIRE AND RUBBER CO,JUN-16-2023,
127471,Open Burning,JUN-16-2023,NOV,Memphis,Shelby,AUG-07-2023,Parcel: D010600301,JUN-09-2023,
127338,Odors,JUN-07-2023,Referred to other Agency/Section,Memphis,Shelby,JUN-07-2023,Gratitude Church Road - Arlington,JUN-07-2023,
127303,Tires,JUN-16-2023,No Problem Found,Memphis,Shelby,JUN-28-2023,901 Tire and Auto - 5071 Summer Avenue,JUN-02-2023,
127247,Haz Waste Issue,MAY-31-2023,Referred to other Agency/Section,Memphis,Shelby,JUN-06-2023,Residence,MAY-31-2023,
127246,Open Burning,MAY-31-2023,Referred to other Agency/Section,Memphis,Shelby,JUN-06-2023,,MAY-31-2023,
127219,Haz Waste Issue,JUN-02-2023,NOV,Memphis,Shelby,JUN-23-2023,JB Cook Auto Machine Company,MAY-30-2023,TNR000050153
127204,Odors,MAY-26-2023,No Jurisdiction,Memphis,Shelby,MAY-26-2023,"Gratitude Church Road, Arlington (unincorporated Shelby Co.) . ",MAY-26-2023,
127155,Used Oil,JUN-02-2023,No Problem Found,Memphis,Shelby,JUN-06-2023,Dixie Equipment 3271 Summer Avenue,MAY-24-2023,
127091,Haz Waste Issue,JUN-02-2023,No Problem Found,Memphis,Shelby,JUN-06-2023,ANI Warehousing 1886-1896 Brooks Rd. ,MAY-18-2023,
127067,Diesel Spill,MAY-18-2023,Closed,Memphis,Shelby,JUL-25-2023,TEMA Incident #830-2023,MAY-15-2023,
126742,Illegal Dumping,APR-24-2023,Referred to other Agency/Section,Memphis,Shelby,APR-24-2023,Bartlett Crossing Apartments (Memphis),APR-24-2023,
126719,Haz Waste Issue,APR-20-2023,Referred to other Agency/Section,Memphis,Shelby,APR-24-2023,City Park,APR-20-2023,
126551,Used Oil,APR-11-2023,Referred to other Agency/Section,Memphis,Shelby,APR-17-2023,9741 New Bethel Road,APR-10-2023,
126339,Used Oil,APR-03-2023,No Problem Found,Memphis,Shelby,APR-10-2023,Green Thumb Automotive & Detailing/Brothers Automotive,MAR-27-2023,
126276,Diesel Spill,MAR-23-2023,Accepted,Memphis,Shelby,,TEMA Incident #495-2023,MAR-23-2023,
126340,Other,MAR-20-2023,No Jurisdiction,Memphis,Shelby,MAR-27-2023,Lineage Logistics,MAR-20-2023,
126218,Illegal Dumping,MAR-15-2023,Referred to other Agency/Section,Memphis,Shelby,MAR-20-2023,Near 2035 Reid Hooker,MAR-14-2023,
126077,Illegal Dumping,MAR-10-2023,Corrected (No NOV),Memphis,Shelby,MAR-20-2023,Dino's Meats 1418 N. Willett St. ,MAR-09-2023,
126034,Tires,MAR-10-2023,No Problem Found,Memphis,Shelby,MAR-20-2023,Two piles of tires - across the road from (near) Marshell Steel 1055 Harbor and near Glaxosmithkline 2149 Harbor,MAR-08-2023,
125773,Haz Waste Issue,FEB-22-2023,No Jurisdiction,Memphis,Shelby,FEB-22-2023,MLGW (Memphis Light Gas and Water),FEB-22-2023,
