address,latitude,longitude,geopoint
591 S FOURTH ST,35.131049,-90.050647,"35.131049, -90.050647"
0 FARROW,35.114072,-90.059178,"35.114072, -90.059178"
509 E OLIVE AVE,35.109912,-90.045373,"35.109912, -90.045373"
730 E ROANOKE,35.110319,-90.038097,"35.110319, -90.038097"
926 WOODLAWN,35.16622185,-90.03304681,"35.16622185, -90.03304681"
714 S PENDLETON,35.11251303,-89.96985823,"35.11251303, -89.96985823"
2280 NORMAN,35.17250538,-89.98120653,"35.17250538, -89.98120653"
2217 HUNTER,35.169552,-89.983355,"35.169552, -89.983355"
1539 POPE,35.17447974,-89.9568417,"35.17447974, -89.9568417"
100 DEMPSTER E.,35.085855,-90.059656,"35.085855, -90.059656"
1595 S PRESCOTT ST,35.087987,-89.950203,"35.087987, -89.950203"
2383 PECAN CL,35.081616,-89.983413,"35.081616, -89.983413"
1059 ETHEL,35.107387,-89.983593,"35.107387, -89.983593"
3691 STEELE ST,35.226313,-90.015133,"35.226313, -90.015133"
0 CHANDLER ST,35.211877,-89.991387,"35.211877, -89.991387"
0 HORNBEAM,35.208766,-89.974978,"35.208766, -89.974978"
3873 EAGLE NEST,35.252692,-89.93488,"35.252692, -89.93488"
408 TRIGG E.,35.112537,-90.048729,"35.112537, -90.048729"
1144 DECATUR ST,35.171326,-90.023571,"35.171326, -90.023571"
499 WICKS AVE,35.121163,-90.045404,"35.121163, -90.045404"
1413 WOODBINE ST,35.107972,-90.022219,"35.107972, -90.022219"
500 PLUM AVE,35.181389,-90.03972,"35.181389, -90.03972"
2340 GOLDEN,35.173241,-89.979159,"35.173241, -89.979159"
0 E ALICE AVE,35.094554,-90.034133,"35.094554, -90.034133"
2050 FARRINGTON,35.091673,-90.074213,"35.091673, -90.074213"
139 W MCKELLAR AVE,35.089324,-90.067648,"35.089324, -90.067648"
1460 ELOISE,35.086355,-90.014233,"35.086355, -90.014233"
4439 SUNNY VIEW DR,35.246905,-89.979644,"35.246905, -89.979644"
2797 WOODLAWN,35.201893,-89.997822,"35.201893, -89.997822"
0 AMERICAN WAY,35.076547,-89.921958,"35.076547, -89.921958"
46 BISCAYNE RD,35.062208,-90.065433,"35.062208, -90.065433"
MANSON RD,35.01115,-90.089655,"35.011150, -90.089655"
3393 FELTON RD,35.209057,-89.950256,"35.209057, -89.950256"
0 KIRBY-WHITTEN RD,35.242369,-89.83788,"35.242369, -89.83788"
337 E GASTON,35.11759205,-90.05091778,"35.11759205, -90.05091778"
661 JENNETTE PL,35.118271,-90.040097,"35.118271, -90.040097"
1079 N DUNLAP ST,35.17014,-90.02953,"35.170140, -90.029530"
1554 S MCMILLAN ST,35.104658,-90.042504,"35.104658, -90.042504"
191 VAAL,35.09822,-90.069149,"35.09822, -90.069149"
0 MARBLE,35.172973,-90.033824,"35.172973, -90.033824"
1496 MAPLEWOOD,35.177088,-89.978547,"35.177088, -89.978547"
1467 GOLD AVE,35.103482,-90.013801,"35.103482, -90.013801"
256 W DAVANT AVE,35.089254,-90.071436,"35.089254, -90.071436"
0 E MALLORY,35.08633475,-90.0611755,"35.08633475, -90.0611755"
922 JOEL,35.220973,-90.033477,"35.220973, -90.033477"
4440 BEACON HILL,35.246959,-89.977291,"35.246959, -89.977291"
0 RANGE LINE,35.22883,-89.97517,"35.22883, -89.97517"
3038 S GREEN RD,35.06578,-90.084815,"35.065780, -90.084815"
548 W HARAHAN RD,35.062935,-90.082441,"35.062935, -90.082441"
763 HARAHAN RD,35.062511,-90.089476,"35.062511, -90.089476"
0 HONDURAS,35.014705,-90.075432,"35.014705, -90.075432"
114 E UTAH,35.113339,-90.058544,"35.113339, -90.058544"
1036 ROZELLE ST,35.117552,-90.006062,"35.117552, -90.006062"
240 MODDER,35.098016,-90.070845,"35.098016, -90.070845"
3274 HENRY,35.160523,-89.951496,"35.160523, -89.951496"
205 FAIRVIEW DR,35.087817,-90.069804,"35.087817, -90.069804"
136 W NORWOOD,35.091713,-90.067451,"35.091713, -90.067451"
0 POPPEN,35.098774,-89.960341,"35.098774, -89.960341"
4550 WHITE OWL,35.24996085,-89.93348918,"35.24996085, -89.93348918"
3882 EAGLE NEST,35.25250695,-89.93443912,"35.25250695, -89.93443912"
1347 LATHAM,35.110601,-90.052463,"35.110601, -90.052463"
326 E CAMBRIDGE AVE,35.113524,-90.051317,"35.113524, -90.051317"
1128 JAMES ST,35.115916,-90.022672,"35.115916, -90.022672"
1597 CAMERON ST,35.103547,-90.049666,"35.103547, -90.049666"
1587 S ORLEANS ST,35.103693,-90.040966,"35.103693, -90.040966"
1496 DAVIS ST,35.177356,-89.988521,"35.177356, -89.988521"
2192 E CURRY AVE,35.180266,-89.983834,"35.180266, -89.983834"
1342 STANDRIDGE ST,35.172559,-89.971633,"35.172559, -89.971633"
0 SUNSET,35.174265,-89.959089,"35.174265, -89.959089"
0 FARMER,35.10512,-89.990754,"35.10512, -89.990754"
1953 S BELMAR,35.093981,-90.050718,"35.093981, -90.050718"
137 W MALLORY,35.08642487,-90.06734501,"35.08642487, -90.06734501"
0 SYBIL,35.01619351,-89.94773468,"35.01619351, -89.94773468"
880 W LITTLE WEAVER,35.055205,-90.0933,"35.055205, -90.0933"
0 WHITEHAVEN LN,35.017202,-90.040477,"35.017202, -90.040477"
0 PITTMAN,35.01704,-90.11555,"35.01704, -90.11555"
0 DILLARD,35.211955,-89.946894,"35.211955, -89.946894"
342 CAMBRIDGE,35.11364,-90.05093,"35.11364, -90.05093"
0 W UTAH AVE,35.113357,-90.07193,"35.113357, -90.07193"
0 RICHMOND,35.110631,-90.042974,"35.110631, -90.042974"
817 E BULLINGTON AVE,35.108769,-90.035402,"35.108769, -90.035402"
1171 DUNNAVANT ST,35.11462,-90.01604,"35.11462, -90.01604"
2655 SPOTTSWOOD AVE,35.113932,-89.973552,"35.113932, -89.973552"
1473 WEBB ST,35.106748,-90.038769,"35.106748, -90.038769"
0 PLEASANT CV,35.161487,-89.929277,"35.161487, -89.929277"
0 MCLEAN,35.16889139,-89.99694956,"35.16889139, -89.99694956"
2409 HUNTER AVE,35.169338,-89.976859,"35.169338, -89.976859"
1742 ORR,35.17998589,-89.95424663,"35.17998589, -89.95424663"
0 KANSAS,35.091124,-90.066597,"35.091124, -90.066597"
1936 SILVER,35.092522,-90.013868,"35.092522, -90.013868"
1360 CELLA,35.105638,-89.978405,"35.105638, -89.978405"
0 BOXTOWN RD,35.052054,-90.127779,"35.052054, -90.127779"
0 LOCKWOOD CV,35.210653,-89.913976,"35.210653, -89.913976"
585 WELLS AVE,35.17068,-90.03736,"35.17068, -90.03736"
1079 SOMERVILLE,35.117251,-90.026417,"35.117251, -90.026417"
878 E GRIFFITH PL,35.161696,-90.0285,"35.161696, -90.0285"
1645 PRESTON,35.102285,-90.050913,"35.102285, -90.050913"
1620 S ELY ST,35.102724,-90.04192,"35.102724, -90.041920"
1433 LAMBERT ST,35.17547,-89.98267,"35.17547, -89.98267"
1325 BRYAN,35.172224,-89.974637,"35.172224, -89.974637"
2472 CALVERT AVE,35.180249,-89.974529,"35.180249, -89.974529"
263 W FRANK,35.090653,-90.071674,"35.090653, -90.071674"
883 RUSSELL,35.159284,-89.970881,"35.159284, -89.970881"
4387 RANGE LINE RD,35.245435,-89.975969,"35.245435, -89.975969"
529 W NORA RD,35.053711,-90.091355,"35.053711, -90.091355"
616 HOWARD DR,35.01166,-90.0434,"35.01166, -90.0434"
0 N MISSISSIPPI,35.321115,-89.92099,"35.321115, -89.92099"
993 S FOURTH,35.120157,-90.051281,"35.120157, -90.051281"
1198 LATHAM,35.114697,-90.05219,"35.114697, -90.05219"
335 E LUCY AVE,35.113892,-90.051182,"35.113892, -90.051182"
437 E OLIVE,35.109995,-90.047863,"35.109995, -90.047863"
0 FLORIDA,35.114653,-90.062009,"35.114653, -90.062009"
499 WICKS,35.121163,-90.045404,"35.121163, -90.045404"
1128 JAMES,35.115916,-90.022671,"35.115916, -90.022671"
1581 WAVERLY,35.114265,-90.009668,"35.114265, -90.009668"
1486 MILLER,35.106439,-90.041129,"35.106439, -90.041129"
313 W DISON AVE,35.101126,-90.073097,"35.101126, -90.073097"
1571 PATTON ST,35.104503,-90.054137,"35.104503, -90.054137"
1061 N AVALON,35.16746384,-90.00445929,"35.16746384, -90.00445929"
1607 WARFORD,35.17644936,-89.96246919,"35.17644936, -89.96246919"
2158 DUBLIN,35.10376564,-89.99077192,"35.10376564, -89.99077192"
2079 BENFORD,35.090832,-90.073054,"35.090832, -90.073054"
20 W GAGE,35.08794,-90.06361,"35.08794, -90.06361"
136 E GAGE AVE,35.087838,-90.058486,"35.087838, -90.058486"
727 KING,35.060494,-90.088353,"35.060494, -90.088353"
3463 CYPRESS,35.1958407,-89.94819175,"35.1958407, -89.94819175"
0 CHAPEL,35.19602,-89.95482,"35.19602, -89.95482"
337 GASTON AVE,35.117592,-90.050918,"35.117592, -90.050918"
1382 SARDIS,35.10953,-90.04883,"35.10953, -90.04883"
587 WELLS AVE,35.17093,-90.03727,"35.17093, -90.03727"
1130 S LAUDERDALE ST,35.116353,-90.043049,"35.116353, -90.043049"
1264 S POND ST,35.112586,-90.038839,"35.112586, -90.038839"
968 BELLA PL,35.12023,-90.02509,"35.120230, -90.025090"
0 CUMMINGS ST,35.111177,-90.028262,"35.111177, -90.028262"
1045 ROZELLE ST,35.117247,-90.006739,"35.117247, -90.006739"
1478 KYLE,35.105508,-90.004569,"35.105508, -90.004569"
0 BRITTON,35.17959659,-89.98723453,"35.17959659, -89.98723453"
0 McADOO,35.140311,-89.960289,"35.140311, -89.960289"
3097 HOSKINS,35.103098,-89.959321,"35.103098, -89.959321"
2608 DONALD,35.074015,-90.010174,"35.074015, -90.010174"
3068 ST KITTS,35.209293,-89.99465,"35.209293, -89.99465"
1926 THE OAKS AVE,35.201434,-89.999508,"35.201434, -89.999508"
3011 S GREEN RD,35.066502,-90.085424,"35.066502, -90.085424"
0 HARAHAN,35.062425,-90.084889,"35.062425, -90.084889"
758 W GILLEAS RD,35.062052,-90.089326,"35.062052, -90.089326"
728 KING,35.061026,-90.088356,"35.061026, -90.088356"
555 HONDURAS,35.01409567,-90.08254609,"35.01409567, -90.08254609"
726 BULLINGTON,35.1094,-90.038157,"35.1094, -90.038157"
904 JACKSON,35.157341,-90.028411,"35.157341, -90.028411"
93 W KIRK AVE,35.099444,-90.065841,"35.099444, -90.065841"
103 W DISON,35.100862,-90.066106,"35.100862, -90.066106"
1357 WABASH AVE,35.10214,-90.017452,"35.10214, -90.017452"
1150 RAYMOND ST,35.106859,-89.981469,"35.106859, -89.981469"
3242 SINCLAIR ST,35.214044,-90.041828,"35.214044, -90.041828"
4493 SUNCREST,35.248382,-89.9788,"35.248382, -89.9788"
1019 W EYERS RD,35.051169,-90.098045,"35.051169, -90.098045"
0 FORD,35.00907,-90.0821,"35.00907, -90.0821"
606 HOWARD,35.011739,-90.043712,"35.011739, -90.043712"
3425 WARFORD ST,35.21912,-89.96352,"35.21912, -89.96352"
1320 MCMILLAN ST,35.111147,-90.041811,"35.111147, -90.041811"
1559 S ORLEANS,35.10437849,-90.04093722,"35.10437849, -90.04093722"
1747 RILE,35.099948,-90.07523,"35.099948, -90.07523"
1660 CARPENTER,35.17790382,-89.96273879,"35.17790382, -89.96273879"
1484 POPE,35.172899,-89.956349,"35.172899, -89.956349"
1606 LAKE GROVE,35.176336,-89.960815,"35.176336, -89.960815"
630 LEAVERT AVE,35.216864,-90.042878,"35.216864, -90.042878"
0 GREEN,35.06511,-90.084828,"35.06511, -90.084828"
882 W NORA RD,35.053727,-90.093411,"35.053727, -90.093411"
650 HONDURAS DR,35.01465,-90.0858,"35.01465, -90.0858"
5055 S BOWERS RD,35.01043,-90.10685,"35.01043, -90.10685"
